year,ev_sales_share_cars,ev_stock_share_cars,chargers_total,chargers_fast,chargers_slow,iso3c,gdp_pc_ppp,population,country,income_group,brent_usd,chargers_per_mn,chargers_per_mn_itp,ln_gdp_pc_ppp,ln_population,ln_brent,ln_chargers_per_mn,ln_charger_density_itp,chargers_growth,chargers_growth_lag1
2015,0.19,0.027,,,,AUS,46464.5867627929,23815995,Australia,HIC,52.35333333333333,,19.51807593409852,10.74644572643619,16.98586797173483,3.9580156092786187,,2.971341007176837,,
2016,0.15,0.037,,,,AUS,47446.2103030951,24190907,Australia,HIC,43.54833333333334,,19.51807593409852,10.76735193368509,17.001487376715872,3.7738714323786655,,2.971341007176837,,
2017,0.25,0.052,480.0,40.0,440.0,AUS,48564.8286592372,24592588,Australia,HIC,54.2475,19.51807593409852,19.51807593409852,10.790654857759316,17.017955654689374,3.9935569084094085,2.971341007176837,2.971341007176837,,
2018,0.41,0.077,731.0,61.0,670.0,AUS,50371.233830782,24963258,Australia,HIC,71.06083333333333,29.28303669336751,29.28303669336751,10.82717553378974,17.032915621793506,4.263536317703028,3.3770083959205466,3.3770083959205466,0.5229166666666667,
2019,1.2,0.14,1960.0,260.0,1700.0,AUS,52885.8313816377,25334826,Australia,HIC,64.35833333333333,77.3638626924061,77.3638626924061,10.875890744195223,17.04769052889935,4.164466425787218,4.348519781289487,4.348519781289487,1.6812585499316004,0.5229166666666667
2020,1.1,0.18,2480.0,480.0,2000.0,AUS,54184.1614486854,25649248,Australia,HIC,41.759166666666665,96.6889945467407,96.6889945467407,10.900143920527931,17.06002481141249,3.731918988075146,4.571499585710814,4.571499585710814,0.26530612244897966,1.6812585499316004
2021,2.8,0.32,2770.0,770.0,2000.0,AUS,58327.4146842325,25685412,Australia,HIC,70.6775,107.84331588685437,107.84331588685437,10.973827496533854,17.061433762245418,4.2581272761411615,4.680679394900242,4.680679394900242,0.11693548387096775,0.26530612244897966
2022,5.0,0.59,3300.0,1200.0,2100.0,AUS,66103.1797066957,26018721,Australia,HIC,100.77749999999999,126.83175318264107,126.83175318264107,11.098972129171383,17.07432687534397,4.612915116435538,4.842861430074875,4.842861430074875,0.19133574007220222,0.11693548387096775
2023,12.0,1.2,3010.0,810.0,2200.0,AUS,72272.7092136683,26659922,Australia,HIC,82.46833333333333,112.90355613193466,112.90355613193466,11.188201870964296,17.098671946979124,4.412414381271988,4.726533968728072,4.726533968728072,-0.08787878787878789,0.19133574007220222
2024,13.0,1.9,6700.0,3900.0,2800.0,AUS,72111.1844628126,27196812,Australia,HIC,80.52666666666666,246.35240336257058,246.35240336257058,11.185964435553363,17.118610318514726,4.388588392509022,5.506763044828605,5.506763044828605,1.2259136212624586,-0.08787878787878789
2017,2.0,0.38,,,,AUT,53869.8321183556,8797566,Austria,HIC,54.2475,,419.1479202515338,10.894325899247885,15.989985650281024,3.9935569084094085,,6.038223889247708,,
2018,2.6,0.53,,,,AUT,56636.4953030542,8840521,Austria,HIC,71.06083333333333,,419.1479202515338,10.944408849741546,15.994856369528714,4.263536317703028,,6.038223889247708,,
2019,3.5,0.75,3722.0,22.0,3700.0,AUT,60354.9279422121,8879920,Austria,HIC,64.35833333333333,419.1479202515338,419.1479202515338,11.007997879235287,15.999303105918763,4.164466425787218,6.038223889247708,6.038223889247708,,
2020,9.5,1.2,8600.0,1500.0,7100.0,AUT,58523.0337816246,8916864,Austria,HIC,41.759166666666665,964.4646368947648,964.4646368947648,10.977175695581582,16.003454873234418,3.731918988075146,6.871573166971455,6.871573166971455,1.3105857066093498,
2021,20.0,2.1,10400.0,1500.0,8900.0,AUT,62968.9422311892,8955797,Austria,HIC,70.6775,1161.2590146918246,1161.2590146918246,11.05039690336154,16.007811590074983,4.2581272761411615,7.057260053018756,7.057260053018756,0.20930232558139528,1.3105857066093498
2022,22.0,3.0,13000.0,,13000.0,AUT,72065.4974270106,9041851,Austria,HIC,100.77749999999999,1437.7587067072882,1437.7587067072882,11.185330670970458,16.017374468045748,4.612915116435538,7.2708407263621995,7.2708407263621995,0.25,0.20930232558139528
2023,27.0,4.1,18600.0,3600.0,15000.0,AUT,73544.6567230487,9131761,Austria,HIC,82.46833333333333,2036.8470002664328,2036.8470002664328,11.20564807516554,16.02726911458544,4.412414381271988,7.619158303080127,7.619158303080127,0.4307692307692308,0.25
2024,24.0,5.3,27300.0,6300.0,21000.0,AUT,73911.439663136,9177982,Austria,HIC,80.52666666666666,2974.510082935443,2974.510082935443,11.210622894186656,16.0323179127234,4.388588392509022,7.997834626413925,7.997834626413925,0.467741935483871,0.4307692307692308
2015,0.76,0.13,1400.0,100.0,1300.0,BEL,46071.914889496,11274196,Belgium,HIC,52.35333333333333,124.17736927759638,124.17736927759638,10.737958821847938,16.238027132606476,3.9580156092786187,4.82171094096115,4.82171094096115,1.2764227642276422,0.6312997347480107
2016,1.7,0.28,1640.0,140.0,1500.0,BEL,48414.5518065681,11331422,Belgium,HIC,43.54833333333334,144.73029069078885,144.73029069078885,10.787555704676913,16.24309013263099,3.7738714323786655,4.97487194615153,4.97487194615153,0.17142857142857149,1.2764227642276422
2017,2.6,0.53,1800.0,300.0,1500.0,BEL,50256.0631772784,11375158,Belgium,HIC,54.2475,158.23956027687703,158.23956027687703,10.824886478886807,16.24694241281471,3.9935569084094085,5.064110089033819,5.064110089033819,0.09756097560975618,0.17142857142857149
2018,2.4,0.75,3020.0,320.0,2700.0,BEL,52466.7330784599,11427054,Belgium,HIC,71.06083333333333,264.2850904528849,264.2850904528849,10.867934592086744,16.251494259767462,4.263536317703028,5.577028408565727,5.577028408565727,0.6777777777777778,0.09756097560975618
2019,3.2,1.0,6590.0,490.0,6100.0,BEL,56712.469571978,11488980,Belgium,HIC,64.35833333333333,573.5931301125079,573.5931301125079,10.94574938744094,16.256898873038445,4.164466425787218,6.351920312422384,6.351920312422384,1.1821192052980134,0.6777777777777778
2020,11.0,1.8,8740.0,740.0,8000.0,BEL,56120.0958420466,11538604,Belgium,HIC,41.759166666666665,757.4573145936891,757.4573145936891,10.935249242020474,16.26120884118944,3.731918988075146,6.629967185424415,6.629967185424415,0.32625189681335365,1.1821192052980134
2021,18.0,2.9,12720.0,720.0,12000.0,BEL,60669.2137746531,11586195,Belgium,HIC,70.6775,1097.8582701223309,1097.8582701223309,11.013191661805944,16.265324861154763,4.2581272761411615,7.001116533703624,7.001116533703624,0.45537757437070936,0.32625189681335365
2022,26.0,4.5,24200.0,1200.0,23000.0,BEL,69128.1388883843,11680210,Belgium,HIC,100.77749999999999,2071.880556942041,2071.880556942041,11.143717146667237,16.27340651465478,4.612915116435538,7.636211955454271,7.636211955454271,0.9025157232704402,0.45537757437070936
2023,41.0,7.8,44000.0,2000.0,42000.0,BEL,71946.1447190292,11779946,Belgium,HIC,82.46833333333333,3735.1614345261005,3735.1614345261005,11.183673128100603,16.28190915213646,4.412414381271988,8.225546318728211,8.225546318728211,0.8181818181818181,0.9025157232704402
2024,43.0,11.0,74600.0,2600.0,72000.0,BEL,73514.4831045258,11858610,Belgium,HIC,80.52666666666666,6290.7878748015155,6290.7878748015155,11.205237714830483,16.288564743990783,4.388588392509022,8.746841600165345,8.746841600165345,0.6954545454545455,0.8181818181818181
2016,0.011,0.001,,,,BRA,14309.2061488342,203218114,Brazil,UMC,43.54833333333334,,0.1499219379757805,9.568658395738046,19.129790413396325,3.7738714323786655,,-1.8976405338427804,,
2017,0.023,0.0022,,,,BRA,14559.0488897884,204703445,Brazil,UMC,54.2475,,0.1499219379757805,9.58596799611346,19.1370728799965,3.9935569084094085,,-1.8976405338427804,,
2018,0.02,0.0034,30.9,4.9,26.0,BRA,15463.7426393743,206107261,Brazil,UMC,71.06083333333333,0.1499219379757805,0.1499219379757805,9.646253378184642,19.143907275710756,4.263536317703028,-1.8976405338427804,-1.8976405338427804,,
2019,0.084,0.0094,225.0,5.0,220.0,BRA,16069.838015161,207455459,Brazil,UMC,64.35833333333333,1.084570158262261,1.084570158262261,9.68469937872811,19.15042721917157,4.164466425787218,0.08118374099712643,0.08118374099712643,6.281553398058253,
2020,0.16,0.017,405.0,5.0,400.0,BRA,16101.6183062954,208660842,Brazil,UMC,41.759166666666665,1.9409487478249512,1.9409487478249512,9.686675061840138,19.156220726268646,3.731918988075146,0.6631768988021651,0.6631768988021651,0.8,6.281553398058253
2021,0.92,0.063,930.0,130.0,800.0,BRA,18075.7060048757,209550294,Brazil,UMC,70.6775,4.438075376787588,4.438075376787588,9.802324106008314,19.160474335340812,4.2581272761411615,1.490220808770763,1.490220808770763,1.2962962962962963,0.8
2022,1.2,0.12,3150.0,150.0,3000.0,BRA,19876.8533531396,210306415,Brazil,UMC,100.77749999999999,14.978145103181946,14.978145103181946,9.89731118564741,19.164076144249535,4.612915116435538,2.7065921455344184,2.7065921455344184,2.3870967741935485,1.2962962962962963
2023,3.0,0.3,4750.0,450.0,4300.0,BRA,21175.6186988214,211140729,Brazil,UMC,82.46833333333333,22.496843799378944,22.496843799378944,9.960605737455692,19.168035431205283,4.412414381271988,3.1133750237876767,3.1133750237876767,0.5079365079365079,2.3870967741935485
2024,6.4,0.7,12600.0,600.0,12000.0,BRA,22338.4765640635,211998573,Brazil,UMC,80.52666666666666,59.43436232469357,59.43436232469357,10.014065877104711,19.172090101481558,4.388588392509022,4.084872549422286,4.084872549422286,1.6526315789473682,0.5079365079365079
2015,0.45,0.084,3463.0,63.0,3400.0,CAN,44668.0912814303,35704498,Canada,HIC,52.35333333333333,96.99058085062559,96.99058085062559,10.707014684116704,17.390787233211,3.9580156092786187,4.574613869155697,4.574613869155697,0.470488322717622,0.9511184755592377
2016,0.76,0.13,4040.0,140.0,3900.0,CAN,46470.6466391109,36110803,Canada,HIC,43.54833333333334,111.87787765339918,111.87787765339918,10.746576137177193,17.4021026306137,3.7738714323786655,4.71740789830577,4.71740789830577,0.16661853883915678,0.470488322717622
2017,1.0,0.21,5680.0,480.0,5200.0,CAN,48317.3874457163,36545075,Canada,HIC,54.2475,155.42449974449363,155.42449974449363,10.785546763384488,17.414056988158855,3.9935569084094085,5.0461600815206165,5.0461600815206165,0.40594059405940586,0.16661853883915678
2018,2.8,0.39,7940.0,840.0,7100.0,CAN,49982.5999118346,37072620,Canada,HIC,71.06083333333333,214.1742342461903,214.1742342461903,10.81943022208031,17.42838924972679,4.263536317703028,5.366789862478665,5.366789862478665,0.397887323943662,0.40594059405940586
2019,3.4,0.6,8840.0,840.0,8000.0,CAN,50498.9731057448,37618495,Canada,HIC,64.35833333333333,234.9907937571665,234.9907937571665,10.829708280516995,17.443006375720604,4.164466425787218,5.45954633787536,5.45954633787536,0.11335012594458438,0.397887323943662
2020,4.2,0.83,13300.0,2300.0,11000.0,CAN,48590.6832121939,38028638,Canada,HIC,41.759166666666665,349.73642758386455,349.73642758386455,10.79118708805833,17.453850065431926,3.731918988075146,5.857179806742193,5.857179806742193,0.504524886877828,0.11335012594458438
2021,6.4,1.2,15000.0,3000.0,12000.0,CAN,56995.1176781351,38239864,Canada,HIC,70.6775,392.2608092957653,392.2608092957653,10.950720888378548,17.459389089655794,4.2581272761411615,5.971926948392826,5.971926948392826,0.1278195488721805,0.504524886877828
2022,9.5,1.7,21300.0,4300.0,17000.0,CAN,63944.1050100687,38935934,Canada,HIC,100.77749999999999,547.0524991130301,547.0524991130301,11.065764621523773,17.47742813540461,4.612915116435538,6.304544774257177,6.304544774257177,0.41999999999999993,0.1278195488721805
2023,13.0,2.3,27100.0,5100.0,22000.0,CAN,64219.3173928637,40083484,Canada,HIC,82.46833333333333,676.0889347842119,676.0889347842119,11.070059338388381,17.50647493711073,4.412414381271988,6.516324627721337,6.516324627721337,0.272300469483568,0.41999999999999993
2024,17.0,4.2,32600.0,6600.0,26000.0,CAN,64610.3795171971,41288599,Canada,HIC,80.52666666666666,789.5642087540922,789.5642087540922,11.076130350504888,17.53609696655278,4.388588392509022,6.671481158766294,6.671481158766294,0.20295202952029512,0.272300469483568
2015,1.7,0.25,3660.0,260.0,3400.0,CHE,65265.04573356,8282396,Switzerland,HIC,52.35333333333333,441.9011117072886,441.9011117072886,11.086211884559027,15.929642856482122,3.9580156092786187,6.091086127877563,6.091086127877563,1.6161543959971407,1.2312599681020733
2016,1.9,0.36,3850.0,350.0,3500.0,CHE,67350.7518747757,8373338,Switzerland,HIC,43.54833333333334,459.7927373766591,459.7927373766591,11.11766934546997,15.940563168220848,3.7738714323786655,6.130775817025256,6.130775817025256,0.051912568306010876,1.6161543959971407
2017,2.6,0.54,4080.0,580.0,3500.0,CHE,68193.5055940262,8451840,Switzerland,HIC,54.2475,482.73512039981824,482.73512039981824,11.130104613403237,15.949894727108234,3.9935569084094085,6.179468098254247,6.179468098254247,0.05974025974025965,0.051912568306010876
2018,3.1,0.77,5140.0,740.0,4400.0,CHE,70688.8187491194,8514329,Switzerland,HIC,71.06083333333333,603.6882060817711,603.6882060817711,11.166042688728584,15.95726106685996,4.263536317703028,6.403057849553526,6.403057849553526,0.2598039215686274,0.05974025974025965
2019,5.5,1.1,6320.0,920.0,5400.0,CHE,73732.2353322093,8575280,Switzerland,HIC,64.35833333333333,737.0021736899554,737.0021736899554,11.20819536833518,15.964394203544403,4.164466425787218,6.602590841560775,6.602590841560775,0.22957198443579774,0.2598039215686274
2020,14.0,1.8,7700.0,1000.0,6700.0,CHE,72997.8239503282,8638167,Switzerland,HIC,41.759166666666665,891.3928151655323,891.3928151655323,11.19818491078662,15.971700965494877,3.731918988075146,6.792785200311172,6.792785200311172,0.2183544303797469,0.22957198443579774
2021,21.0,2.9,10100.0,1900.0,8200.0,CHE,81001.4111206118,8704546,Switzerland,HIC,70.6775,1160.313243217969,1160.313243217969,11.302221854744948,15.979355975889842,4.2581272761411615,7.056445284903782,7.056445284903782,0.3116883116883118,0.2183544303797469
2022,25.0,4.2,12200.0,2200.0,10000.0,CHE,94421.4576550424,8777088,Switzerland,HIC,100.77749999999999,1389.9826457248691,1389.9826457248691,11.455523631971396,15.987655247728846,4.612915116435538,7.237046540956776,7.237046540956776,0.20792079207920788,0.3116883116883118
2023,30.0,5.8,15800.0,2800.0,13000.0,CHE,95141.5960943632,8888822,Switzerland,HIC,82.46833333333333,1777.5133757881529,1777.5133757881529,11.463121546115925,16.000305090273624,4.412414381271988,7.482970686705709,7.482970686705709,0.29508196721311486,0.20792079207920788
2024,28.0,7.3,19200.0,4200.0,15000.0,CHE,96497.6947971323,9005582,Switzerland,HIC,80.52666666666666,2132.0110127252187,2132.0110127252187,11.477274398929133,16.013355165264404,4.388588392509022,7.664820950715742,7.664820950715742,0.21518987341772156,0.29508196721311486
2015,0.019,0.0023,27.0,5.0,22.0,CHL,22468.3125745547,18047625,Chile,HIC,52.35333333333333,1.4960417229413843,1.4960417229413843,10.019861265543923,16.708524655138525,3.9580156092786187,0.40282276883007667,0.40282276883007667,0.5,0.3846153846153846
2016,0.015,0.0032,27.0,5.0,22.0,CHL,23256.5036042211,18267221,Chile,HIC,43.54833333333334,1.4780573355958195,1.4780573355958195,10.054340096812519,16.72061880950501,3.7738714323786655,0.39072861446359275,0.39072861446359275,0.0,0.5
2017,0.064,0.0069,41.0,6.0,35.0,CHL,24295.223766602,18558868,Chile,HIC,54.2475,2.2091864654676137,2.2091864654676137,10.09803505719487,16.73645829208297,3.9935569084094085,0.7926243325856135,0.7926243325856135,0.5185185185185186,0.0
2018,0.08,0.011,69.0,8.0,61.0,CHL,25305.0903462611,18893191,Chile,HIC,71.06083333333333,3.652109376335633,3.652109376335633,10.138760853934675,16.754312150568744,4.263536317703028,1.2953049119927909,1.2953049119927909,0.6829268292682926,0.5185185185185186
2019,0.14,0.017,172.0,42.0,130.0,CHL,25611.7578269458,19197744,Chile,HIC,64.35833333333333,8.959386061195524,8.959386061195524,10.150806815141303,16.770303330094343,4.164466425787218,2.1927017046833828,2.1927017046833828,1.4927536231884058,0.6829268292682926
2020,0.2,0.022,339.0,99.0,240.0,CHL,25350.8635082972,19370624,Chile,HIC,41.759166666666665,17.50072687384774,17.50072687384774,10.14056807188286,16.779268249629396,3.731918988075146,2.8622424157153294,2.8622424157153294,0.9709302325581395,1.4927536231884058
2021,0.29,0.034,500.0,140.0,360.0,CHL,29089.850459728,19456334,Chile,HIC,70.6775,25.698571992030978,25.698571992030978,10.27814461086854,16.78368323054147,4.2581272761411615,3.246435425844996,3.246435425844996,0.47492625368731556,0.9709302325581395
2022,0.6,0.068,660.0,220.0,440.0,CHL,30932.0010873677,19553036,Chile,HIC,100.77749999999999,33.754348941003336,33.754348941003336,10.339546560882413,16.78864112645641,4.612915116435538,3.519109266528333,3.519109266528333,0.32000000000000006,0.47492625368731556
2023,0.75,0.13,1070.0,330.0,740.0,CHL,33145.403552025,19658835,Chile,HIC,82.46833333333333,54.428454178490234,54.428454178490234,10.40865932995286,16.794037413552125,4.412414381271988,3.9968870718681004,3.9968870718681004,0.6212121212121211,0.32000000000000006
2024,2.1,0.26,1810.0,610.0,1200.0,CHL,36181.156616977,19764771,Chile,HIC,80.52666666666666,91.57707923861096,91.57707923861096,10.496293726845632,16.799411668508693,4.388588392509022,4.5171810137154536,4.5171810137154536,0.691588785046729,0.6212121212121211
2015,1.0,0.21,47000.0,,47000.0,CHN,13463.3331511105,1379860000,China,UMC,52.35333333333333,34.061426521531175,34.061426521531175,9.5077252063546,21.045247881693836,3.9580156092786187,3.5281655569626333,3.5281655569626333,1.2380952380952381,
2016,1.5,0.39,86000.0,,86000.0,CHN,14157.2514988004,1387790000,China,UMC,43.54833333333334,61.969029896454074,61.969029896454074,9.557982245215186,21.050978390754533,3.7738714323786655,4.126634742445386,4.126634742445386,0.8297872340425532,1.2380952380952381
2017,2.4,0.65,130000.0,,130000.0,CHN,15022.4371883124,1396215000,China,UMC,54.2475,93.10886933602633,93.10886933602633,9.617300175025264,21.05703084088936,3.9935569084094085,4.533769446512631,4.533769446512631,0.5116279069767442,0.8297872340425532
2018,4.7,1.1,270000.0,110000.0,160000.0,CHN,16298.2050619109,1402760000,China,UMC,71.06083333333333,192.4776868459323,192.4776868459323,9.69881026183015,21.061707561423983,4.263536317703028,5.259980234520804,5.259980234520804,1.076923076923077,0.5116279069767442
2019,5.0,1.5,510000.0,210000.0,300000.0,CHN,17600.8907568493,1407745000,China,UMC,64.35833333333333,362.2815211561753,362.2815211561753,9.77570479093016,21.06525497032569,4.164466425787218,5.892421592339092,5.892421592339092,0.8888888888888888,1.076923076923077
2020,5.7,1.9,810000.0,310000.0,500000.0,CHN,18267.4783455827,1411100000,China,UMC,41.759166666666665,574.020267876125,574.020267876125,9.812877618257948,21.06763537902799,3.731918988075146,6.352664705584907,6.352664705584907,0.588235294117647,0.8888888888888888
2021,15.0,3.0,1150000.0,470000.0,680000.0,CHN,20843.2978347377,1412360000,China,UMC,70.6775,814.2399954685775,814.2399954685775,9.944787728776689,21.068527901028403,4.2581272761411615,6.702255157275305,6.702255157275305,0.4197530864197532,0.588235294117647
2022,29.0,5.0,1760000.0,760000.0,1000000.0,CHN,23032.1766271143,1412175000,China,UMC,100.77749999999999,1246.3044594331438,1246.3044594331438,10.044647501032765,21.068396906014875,4.612915116435538,7.127938018963732,7.127938018963732,0.5304347826086957,0.4197530864197532
2023,38.0,7.5,2700000.0,1200000.0,1500000.0,CHN,25179.1193066383,1410710000,China,UMC,82.46833333333333,1913.9298651033876,1913.9298651033876,10.133770331078736,21.067358960698986,4.412414381271988,7.5569139282398465,7.5569139282398465,0.5340909090909092,0.5304347826086957
2024,48.0,11.0,3500000.0,1600000.0,1900000.0,CHN,27104.8702677463,1408975000,China,UMC,80.52666666666666,2484.07530296847,2484.07530296847,10.20746870539803,21.066128326625346,4.388588392509022,7.817655757798571,7.817655757798571,0.2962962962962963,0.5340909090909092
2019,0.78,0.062,,,,COL,16181.5908990662,49907985,Colombia,UMC,64.35833333333333,,8.732485920136279,9.691629510813888,17.725691567959988,4.164466425787218,,2.1670500853455636,,
2020,0.94,0.096,,,,COL,15519.2101694656,50629997,Colombia,UMC,41.759166666666665,,8.732485920136279,9.649833901299532,17.740054784692685,3.731918988075146,,2.1670500853455636,,
2021,1.7,0.17,447.0,57.0,390.0,COL,17383.0901728295,51188173,Colombia,UMC,70.6775,8.732485920136279,8.732485920136279,9.763253183522773,17.751019067232278,4.2581272761411615,2.1670500853455636,2.1670500853455636,,
2022,2.9,0.29,694.0,84.0,610.0,COL,20854.002999162,51737944,Colombia,UMC,100.77749999999999,13.413752970160546,13.413752970160546,9.945301199166638,17.76170199678534,4.612915116435538,2.5962805216857374,2.5962805216857374,0.552572706935123,
2023,3.9,0.44,1040.0,160.0,880.0,COL,21246.3762695201,52321152,Colombia,UMC,82.46833333333333,19.877238177018732,19.877238177018732,9.963941631317754,17.77291128321944,4.412414381271988,2.9895752668802515,2.9895752668802515,0.49855907780979836,0.552572706935123
2024,7.4,0.79,1100.0,120.0,980.0,COL,22349.436440123,52886363,Colombia,UMC,80.52666666666666,20.799312669695208,20.799312669695208,10.014556384516782,17.783656075315644,4.388588392509022,3.0349199414350916,3.0349199414350916,0.05769230769230771,0.49855907780979836
2019,1.2,0.079,,,,CRI,23339.6091317787,4999553,Costa Rica,HIC,64.35833333333333,,118.57735630993592,10.057907158989895,15.424859066401956,4.164466425787218,,4.775565543461086,,
2020,2.5,0.14,,,,CRI,22099.8678127394,5034320,Costa Rica,HIC,41.759166666666665,,118.57735630993592,10.003326906163947,15.431789020396428,3.731918988075146,,4.775565543461086,,
2021,3.6,0.24,600.0,,600.0,CRI,23852.9253020002,5059988,Costa Rica,HIC,70.6775,118.57735630993592,118.57735630993592,10.079662142966995,15.436874669719334,4.2581272761411615,4.775565543461086,4.775565543461086,,
2022,7.6,0.48,750.0,,750.0,CRI,26226.2754815949,5081765,Costa Rica,HIC,100.77749999999999,147.58651767643724,147.58651767643724,10.174517068176936,15.441169200155919,4.612915116435538,4.994414564338712,4.994414564338712,0.25,
